invoice_id,record_id,shipper_name,buyer_name,destination_city,volume_barrels,price_per_barrel_cad,total_value_cad,transport_mode,pipeline_tariff_per_bbl,invoice_date,payment_terms,wcs_discount_usd
TI00001,PR0080,Pengrowth Energy,Suncor Commerce City,Sarnia,24684,54.89,1354904.76,pipeline,11.88,2025-08-16,PREPAID,13.27
TI00002,PR0086,Canadian Natural Resources,Irving Oil,Sarnia,43547,51.87,2258782.89,truck,5.51,2025-12-13,PREPAID,12.43
TI00003,PR0111,Whitecap Resources,PBF Energy,Sarnia,20134,74.43,1498573.62,pipeline,8.61,2025-02-01,NET30,20.1
TI00004,PR0057,Athabasca Oil,PBF Energy,Saint John,4787,68.46,327718.02,rail,6.6,2025-06-05,PREPAID,14.69
TI00005,PR0040,Suncor Energy,Calumet Specialty,Saint John,47083,83.74,3942730.42,pipeline,3.79,2025-09-04,NET45,17.01
TI00006,PR0138,Husky Energy,Irving Oil,Wood River,35915,67.87,2437551.05,pipeline,10.67,2025-01-22,NET60,15.95
TI00007,PR0154,Baytex Energy,Irving Oil,Detroit,14251,78.33,1116280.83,truck,4.4,2025-07-11,NET30,20.2
TI00008,PR0136,Canadian Natural Resources,Irving Oil,Chicago,5839,77.94,455091.66,truck,9.51,2025-12-09,NET60,21.22
TI00009,PR0028,Pengrowth Energy,Midwest Refining LLC,Chicago,47843,49.09,2348612.87,pipeline,3.62,2025-07-23,PREPAID,16.65
TI00010,PR0128,Athabasca Oil,Calumet Specialty,Cushing,38005,51.15,1943955.75,pipeline,7.16,2025-09-20,PREPAID,11.32
TI00011,PR0075,Suncor Energy,PBF Energy,Philadelphia,38985,71.69,2794834.65,rail,2.51,2025-04-12,NET30,13.36
TI00012,PR0045,Imperial Oil,HollyFrontier,Montreal,30031,68.35,2052618.85,rail,8.92,2025-10-17,NET60,10.87
TI00013,PR0031,Imperial Oil,US Gulf Refinery Corp,Montreal,11284,49.18,554947.12,truck,5.92,2025-03-11,NET30,9.0
TI00014,PR0132,Husky Energy,Suncor Commerce City,Chicago,9760,66.59,649918.4,pipeline,7.2,2025-11-19,NET60,14.86
TI00015,PR0099,Suncor Energy,HollyFrontier,Chicago,43254,77.61,3356942.94,rail,9.0,2025-05-01,NET60,8.12
TI00016,PR0120,Husky Energy,Valero Energy,Philadelphia,7998,56.22,449647.56,pipeline,2.21,2025-01-13,NET45,18.82
TI00017,PR0198,Whitecap Resources,US Gulf Refinery Corp,Detroit,46346,76.51,3545932.46,pipeline,9.27,2025-04-03,NET60,20.08
TI00018,PR0032,Whitecap Resources,HollyFrontier,Toledo,18921,50.29,951537.09,pipeline,10.15,2025-03-23,PREPAID,13.96
TI00019,PR0028,Whitecap Resources,Suncor Commerce City,Wood River,37801,66.0,2494866.0,pipeline,7.81,2025-07-13,NET60,18.03
TI00020,PR0101,Imperial Oil,Midwest Refining LLC,Wood River,36834,78.1,2876735.4,pipeline,5.54,2025-02-02,NET30,13.85
TI00021,PR0132,MEG Energy,Valero Energy,Houston,11281,68.54,773199.74,pipeline,2.32,2025-12-14,PREPAID,8.15
TI00022,PR0131,Baytex Energy,HollyFrontier,Montreal,22789,61.51,1401751.39,pipeline,6.16,2025-03-21,PREPAID,9.57
TI00023,PR0155,Baytex Energy,PBF Energy,Chicago,4330,46.36,200738.8,pipeline,9.1,2025-10-12,NET30,8.99
TI00024,PR0181,Whitecap Resources,HollyFrontier,Montreal,16920,54.03,914187.6,rail,5.6,2025-12-07,NET60,19.63
TI00025,PR0106,Imperial Oil,HollyFrontier,Saint John,18105,58.8,1064574.0,pipeline,7.23,2025-02-06,PREPAID,14.06
TI00026,PR0090,Imperial Oil,Phillips 66,Philadelphia,4479,55.42,248226.18,pipeline,10.49,2025-09-14,NET30,11.06
TI00027,PR0010,Imperial Oil,Irving Oil,Saint John,3459,49.88,172534.92,truck,9.53,2025-07-15,NET60,20.61
TI00028,PR0197,Athabasca Oil,US Gulf Refinery Corp,Philadelphia,17845,64.5,1151002.5,rail,2.3,2025-03-17,NET60,15.99
TI00029,PR0198,Imperial Oil,US Gulf Refinery Corp,Detroit,22492,67.75,1523833.0,rail,5.95,2025-04-19,NET60,19.81
TI00030,PR0016,Canadian Natural Resources,Midwest Refining LLC,Chicago,20577,74.61,1535249.97,rail,5.68,2025-05-19,NET30,11.76
TI00031,PR0022,Pengrowth Energy,Midwest Refining LLC,Cushing,28711,71.85,2062885.35,pipeline,9.51,2025-01-22,NET60,13.48
TI00032,PR0051,Canadian Natural Resources,PBF Energy,Toledo,16679,49.99,833783.21,rail,8.4,2025-02-04,NET30,11.85
TI00033,PR0055,Canadian Natural Resources,HollyFrontier,Wood River,18147,58.33,1058514.51,truck,7.99,2025-01-11,NET60,13.74
TI00034,PR0093,Baytex Energy,Irving Oil,Montreal,3618,77.99,282167.82,pipeline,9.77,2025-05-04,NET45,16.74
TI00035,PR0146,Husky Energy,Suncor Commerce City,Philadelphia,18803,66.31,1246826.93,pipeline,3.06,2025-10-06,NET45,14.28
TI00036,PR0043,MEG Energy,HollyFrontier,Cushing,45855,75.01,3439583.55,pipeline,7.13,2025-11-04,NET60,14.05
TI00037,PR0107,Baytex Energy,Suncor Commerce City,Wood River,43886,68.07,2987320.02,pipeline,7.14,2025-08-24,NET45,21.38
TI00038,PR0106,Imperial Oil,Calumet Specialty,Chicago,13280,64.71,859348.8,pipeline,6.94,2025-10-24,NET60,19.03
TI00039,PR0128,Pengrowth Energy,Midwest Refining LLC,Detroit,18643,71.74,1337448.82,rail,11.22,2025-12-20,NET30,16.15
TI00040,PR0060,Imperial Oil,Valero Energy,Houston,23556,60.96,1435973.76,pipeline,3.37,2025-12-09,NET60,19.99
TI00041,PR0159,Husky Energy,Irving Oil,Montreal,30946,84.87,2626387.02,truck,4.12,2025-08-09,NET30,16.39
TI00042,PR0008,Athabasca Oil,US Gulf Refinery Corp,Montreal,13327,48.62,647958.74,truck,5.26,2025-12-24,NET60,20.48
TI00043,PR0065,MEG Energy,Midwest Refining LLC,Detroit,30188,82.18,2480849.84,pipeline,9.84,2025-05-09,NET60,20.47
TI00044,PR0121,Husky Energy,HollyFrontier,Montreal,16125,75.79,1222113.75,pipeline,7.82,2025-06-16,NET45,16.76
TI00045,PR0150,Husky Energy,Phillips 66,Cushing,28757,56.31,1619306.67,pipeline,6.66,2025-07-02,PREPAID,20.29
TI00046,PR0145,Husky Energy,Phillips 66,Chicago,30048,53.71,1613878.08,rail,2.34,2025-04-07,PREPAID,21.6
TI00047,PR0003,Suncor Energy,HollyFrontier,Saint John,34689,62.24,2159043.36,truck,3.38,2025-02-09,PREPAID,9.98
TI00048,PR0175,Suncor Energy,HollyFrontier,Houston,32299,51.72,1670504.28,rail,11.15,2025-02-04,NET30,19.09
TI00049,PR0116,Pengrowth Energy,PBF Energy,Saint John,35133,72.13,2534143.29,pipeline,6.39,2025-12-07,PREPAID,16.54
TI00050,PR0031,Canadian Natural Resources,Irving Oil,Sarnia,28573,73.02,2086400.46,truck,7.91,2025-10-13,NET45,14.4
TI00051,PR0098,Suncor Energy,Phillips 66,Montreal,18164,46.1,837360.4,pipeline,3.77,2025-07-08,NET30,14.71
TI00052,PR0166,Imperial Oil,Marathon Petroleum,Toledo,8864,80.94,717452.16,pipeline,11.27,2025-05-28,NET45,19.2
TI00053,PR0046,Cenovus Energy,US Gulf Refinery Corp,Chicago,23500,77.91,1830885.0,truck,7.16,2025-06-14,NET60,19.33
TI00054,PR0014,Whitecap Resources,Valero Energy,Saint John,35072,80.8,2833817.6,rail,7.3,2025-12-03,NET30,10.92
TI00055,PR0197,Whitecap Resources,Marathon Petroleum,Toledo,44309,75.17,3330707.53,pipeline,4.24,2025-05-26,NET30,15.2
TI00056,PR0094,Athabasca Oil,Irving Oil,Detroit,21991,55.18,1213463.38,pipeline,11.52,2025-04-02,NET60,18.32
TI00057,PR0085,MEG Energy,HollyFrontier,Detroit,4921,65.12,320455.52,rail,9.28,2025-06-10,NET60,11.1
TI00058,PR0153,Whitecap Resources,Valero Energy,Philadelphia,25374,49.05,1244594.7,rail,6.95,2025-03-22,PREPAID,17.27
TI00059,PR0137,MEG Energy,Irving Oil,Chicago,48657,50.86,2474695.02,pipeline,7.91,2025-04-19,PREPAID,11.72
TI00060,PR0048,Whitecap Resources,PBF Energy,Wood River,40414,47.7,1927747.8,rail,8.66,2025-12-06,NET60,8.28
TI00061,PR0138,Cenovus Energy,Valero Energy,Wood River,27347,64.37,1760326.39,pipeline,5.33,2025-05-22,NET45,20.29
TI00062,PR0157,Baytex Energy,Phillips 66,Toledo,10855,70.11,761044.05,pipeline,10.06,2025-05-17,NET45,20.13
TI00063,PR0180,Suncor Energy,US Gulf Refinery Corp,Cushing,25864,79.56,2057739.84,rail,9.88,2025-06-01,NET60,16.76
TI00064,PR0057,Imperial Oil,Calumet Specialty,Wood River,48388,57.03,2759567.64,rail,3.69,2025-02-10,PREPAID,20.59
TI00065,PR0092,Canadian Natural Resources,Marathon Petroleum,Cushing,26635,64.96,1730209.6,pipeline,6.49,2025-01-01,NET30,20.92
TI00066,PR0104,Imperial Oil,US Gulf Refinery Corp,Cushing,4701,54.75,257379.75,rail,3.21,2025-02-03,NET30,15.07
TI00067,PR0019,MEG Energy,Suncor Commerce City,Cushing,13749,61.86,850513.14,pipeline,4.11,2025-05-18,NET45,12.79
TI00068,PR0104,Suncor Energy,Marathon Petroleum,Chicago,32053,78.4,2512955.2,pipeline,2.8,2025-10-12,PREPAID,15.57
TI00069,PR0179,Baytex Energy,US Gulf Refinery Corp,Saint John,31927,56.19,1793978.13,pipeline,3.51,2025-01-09,PREPAID,17.85
TI00070,PR0166,Cenovus Energy,Phillips 66,Sarnia,4943,70.27,347344.61,rail,10.36,2025-11-19,NET30,18.54
TI00071,PR0139,Whitecap Resources,Phillips 66,Montreal,1531,78.59,120321.29,rail,2.19,2025-02-19,PREPAID,17.23
TI00072,PR0080,Athabasca Oil,Midwest Refining LLC,Chicago,32358,79.73,2579903.34,rail,8.9,2025-11-20,NET60,17.78
TI00073,PR0015,Whitecap Resources,Valero Energy,Detroit,42492,77.8,3305877.6,rail,9.48,2025-08-25,NET45,8.95
TI00074,PR0093,Suncor Energy,Midwest Refining LLC,Detroit,18322,70.95,1299945.9,pipeline,4.91,2025-12-27,NET60,13.14
TI00075,PR0074,Baytex Energy,Midwest Refining LLC,Saint John,31105,51.25,1594131.25,pipeline,3.78,2025-10-01,PREPAID,12.55
TI00076,PR0101,Imperial Oil,Irving Oil,Detroit,37205,84.06,3127452.3,pipeline,6.38,2025-03-01,NET30,9.77
TI00077,PR0117,Athabasca Oil,Midwest Refining LLC,Chicago,48606,68.92,3349925.52,pipeline,10.96,2025-01-06,NET45,17.53
TI00078,PR0039,Baytex Energy,Valero Energy,Montreal,14447,82.85,1196933.95,truck,8.92,2025-12-15,NET30,16.28
TI00079,PR0134,MEG Energy,HollyFrontier,Detroit,20056,71.37,1431396.72,pipeline,4.84,2025-03-22,NET30,21.28
TI00080,PR0142,Husky Energy,Irving Oil,Philadelphia,44545,56.88,2533719.6,pipeline,5.93,2025-11-13,PREPAID,21.07
TI00081,PR0047,Imperial Oil,US Gulf Refinery Corp,Saint John,41554,73.7,3062529.8,pipeline,4.03,2025-03-14,NET30,17.12
TI00082,PR0029,Canadian Natural Resources,PBF Energy,Wood River,19153,79.08,1514619.24,truck,3.26,2025-11-16,PREPAID,21.68
TI00083,PR0029,Husky Energy,Valero Energy,Toledo,34538,75.53,2608655.14,rail,4.24,2025-08-18,PREPAID,15.46
TI00084,PR0066,MEG Energy,Phillips 66,Saint John,42234,74.98,3166705.32,truck,3.36,2025-09-14,NET45,12.17
TI00085,PR0032,Athabasca Oil,PBF Energy,Philadelphia,6781,56.7,384482.7,pipeline,6.1,2025-01-06,NET45,8.13
TI00086,PR0155,Cenovus Energy,Marathon Petroleum,Detroit,24639,83.32,2052921.48,pipeline,8.77,2025-01-07,PREPAID,12.47
TI00087,PR0018,Cenovus Energy,Phillips 66,Montreal,48801,58.98,2878282.98,pipeline,11.95,2025-06-18,NET60,9.06
TI00088,PR0109,Pengrowth Energy,Suncor Commerce City,Wood River,7333,71.53,524529.49,pipeline,5.76,2025-03-15,NET45,8.84
TI00089,PR0115,Husky Energy,HollyFrontier,Philadelphia,33532,65.48,2195675.36,pipeline,6.9,2025-08-12,NET60,17.19
TI00090,PR0187,Imperial Oil,Marathon Petroleum,Philadelphia,9638,78.67,758221.46,rail,5.08,2025-04-26,NET60,13.66
TI00091,PR0042,Canadian Natural Resources,Phillips 66,Cushing,1374,49.09,67449.66,pipeline,9.74,2025-08-26,NET30,15.15
TI00092,PR0059,Cenovus Energy,Marathon Petroleum,Saint John,1122,75.05,84206.1,pipeline,3.24,2025-12-03,NET60,19.8
TI00093,PR0125,Canadian Natural Resources,Marathon Petroleum,Detroit,35897,58.99,2117564.03,rail,11.25,2025-01-06,NET30,12.12
TI00094,PR0067,Pengrowth Energy,Calumet Specialty,Cushing,31876,62.47,1991293.72,rail,9.43,2025-10-06,PREPAID,17.47
TI00095,PR0191,Imperial Oil,Suncor Commerce City,Chicago,44530,74.07,3298337.1,pipeline,8.03,2025-05-09,NET60,11.28
TI00096,PR0151,Athabasca Oil,Valero Energy,Cushing,25986,75.96,1973896.56,pipeline,7.91,2025-01-10,NET60,11.08
TI00097,PR0128,Pengrowth Energy,Marathon Petroleum,Detroit,17359,69.93,1213914.87,pipeline,10.93,2025-12-24,NET30,14.0
TI00098,PR0091,Suncor Energy,Valero Energy,Detroit,36735,54.01,1984057.35,pipeline,6.13,2025-03-21,NET60,10.78
TI00099,PR0073,Pengrowth Energy,Marathon Petroleum,Montreal,9601,56.24,539960.24,pipeline,8.59,2025-10-23,NET45,12.81
TI00100,PR0117,Canadian Natural Resources,Phillips 66,Cushing,27903,66.81,1864199.43,rail,5.79,2025-04-21,NET60,17.03
TI00101,PR0043,Whitecap Resources,Midwest Refining LLC,Montreal,7977,78.33,624838.41,pipeline,2.89,2025-06-26,NET60,11.62
TI00102,PR0126,Pengrowth Energy,Calumet Specialty,Chicago,12708,59.81,760065.48,rail,3.44,2025-05-08,NET60,16.07
TI00103,PR0033,Suncor Energy,Marathon Petroleum,Chicago,14245,82.2,1170939.0,pipeline,4.56,2025-02-21,PREPAID,11.84
TI00104,PR0183,Baytex Energy,PBF Energy,Wood River,29288,84.04,2461363.52,rail,9.22,2025-12-24,NET60,20.14
TI00105,PR0025,Cenovus Energy,Marathon Petroleum,Cushing,17935,83.25,1493088.75,pipeline,10.26,2025-08-01,NET60,10.64
TI00106,PR0135,Cenovus Energy,Valero Energy,Cushing,21326,51.29,1093810.54,pipeline,11.86,2025-12-04,NET60,12.45
TI00107,PR0138,Canadian Natural Resources,Phillips 66,Sarnia,23317,58.04,1353318.68,pipeline,2.19,2025-03-26,PREPAID,10.81
TI00108,PR0027,MEG Energy,Midwest Refining LLC,Montreal,24925,76.33,1902525.25,pipeline,5.63,2025-04-06,PREPAID,11.63
TI00109,PR0030,Husky Energy,PBF Energy,Houston,14802,52.85,782285.7,pipeline,3.37,2025-09-11,NET45,21.81
TI00110,PR0087,MEG Energy,Midwest Refining LLC,Chicago,13734,65.91,905207.94,truck,10.65,2025-11-17,PREPAID,12.03
TI00111,PR0148,MEG Energy,Suncor Commerce City,Toledo,15219,63.03,959253.57,pipeline,9.17,2025-07-27,NET30,13.82
TI00112,PR0142,Baytex Energy,HollyFrontier,Houston,22390,60.73,1359744.7,pipeline,4.84,2025-12-16,NET60,18.11
TI00113,PR0030,Imperial Oil,Suncor Commerce City,Montreal,9241,58.31,538842.71,rail,10.69,2025-04-17,NET60,19.04
TI00114,PR0139,Husky Energy,Calumet Specialty,Houston,11933,54.82,654167.06,pipeline,9.26,2025-03-18,PREPAID,14.2
TI00115,PR0160,Cenovus Energy,Calumet Specialty,Wood River,31010,73.17,2269001.7,pipeline,3.33,2025-05-10,NET45,19.52
TI00116,PR0053,Pengrowth Energy,PBF Energy,Toledo,18771,71.83,1348320.93,pipeline,9.77,2025-11-10,NET30,14.14
TI00117,PR0178,Whitecap Resources,Suncor Commerce City,Wood River,30183,47.21,1424939.43,pipeline,9.43,2025-08-15,NET45,10.9
TI00118,PR0140,Pengrowth Energy,Irving Oil,Chicago,6664,57.9,385845.6,pipeline,2.75,2025-05-10,NET30,11.84
TI00119,PR0106,Cenovus Energy,Irving Oil,Cushing,47173,52.02,2453939.46,rail,7.1,2025-01-04,PREPAID,18.53
TI00120,PR0044,MEG Energy,Calumet Specialty,Chicago,24152,71.27,1721313.04,pipeline,7.69,2025-12-12,PREPAID,11.71
TI00121,PR0182,Husky Energy,Midwest Refining LLC,Sarnia,35731,61.68,2203888.08,pipeline,10.81,2025-10-26,NET60,17.77
TI00122,PR0140,Imperial Oil,Phillips 66,Montreal,14426,58.7,846806.2,pipeline,6.1,2025-11-12,NET30,21.09
TI00123,PR0084,Canadian Natural Resources,HollyFrontier,Detroit,25094,67.07,1683054.58,pipeline,5.14,2025-10-10,NET60,17.17
TI00124,PR0051,Husky Energy,PBF Energy,Montreal,48261,45.01,2172227.61,rail,7.31,2025-07-10,NET30,18.23
TI00125,PR0005,Athabasca Oil,Calumet Specialty,Sarnia,49775,55.91,2782920.25,pipeline,9.88,2025-03-10,PREPAID,13.43
TI00126,PR0053,MEG Energy,HollyFrontier,Philadelphia,29626,49.64,1470634.64,truck,2.69,2025-05-07,NET60,12.96
TI00127,PR0141,Suncor Energy,PBF Energy,Chicago,31282,66.93,2093704.26,pipeline,4.51,2025-10-27,NET45,17.4
TI00128,PR0085,Suncor Energy,Midwest Refining LLC,Sarnia,1139,51.32,58453.48,truck,11.46,2025-07-12,NET60,10.86
TI00129,PR0178,Baytex Energy,Valero Energy,Philadelphia,48407,70.6,3417534.2,pipeline,9.83,2025-06-23,NET45,9.18
TI00130,PR0066,Whitecap Resources,Marathon Petroleum,Chicago,17986,60.99,1096966.14,pipeline,9.87,2025-02-11,NET45,14.13
TI00131,PR0072,Baytex Energy,Midwest Refining LLC,Wood River,21997,52.24,1149123.28,truck,9.14,2025-06-15,NET60,18.34
TI00132,PR0014,Imperial Oil,Calumet Specialty,Toledo,43586,84.98,3703938.28,pipeline,4.14,2025-11-14,PREPAID,10.52
TI00133,PR0027,Whitecap Resources,Valero Energy,Wood River,25475,82.9,2111877.5,pipeline,10.69,2025-05-22,NET45,10.69
TI00134,PR0156,Whitecap Resources,PBF Energy,Philadelphia,19010,48.56,923125.6,pipeline,9.12,2025-04-07,NET30,9.48
TI00135,PR0024,Baytex Energy,Phillips 66,Cushing,23155,79.48,1840359.4,pipeline,6.33,2025-07-13,NET30,10.34
TI00136,PR0027,MEG Energy,Valero Energy,Chicago,41380,46.4,1920032.0,pipeline,11.05,2025-05-03,NET60,21.18
TI00137,PR0138,Pengrowth Energy,Midwest Refining LLC,Montreal,7540,69.13,521240.2,pipeline,5.22,2025-06-04,NET30,10.28
TI00138,PR0110,Canadian Natural Resources,Calumet Specialty,Cushing,13024,84.16,1096099.84,rail,7.4,2025-04-18,NET60,19.26
TI00139,PR0052,Imperial Oil,Irving Oil,Detroit,19061,57.51,1096198.11,pipeline,2.2,2025-03-26,NET30,17.49
TI00140,PR0144,Suncor Energy,Phillips 66,Houston,7212,84.43,608909.16,truck,11.14,2025-03-17,NET30,18.73
TI00141,PR0192,MEG Energy,US Gulf Refinery Corp,Sarnia,37559,67.62,2539739.58,pipeline,5.94,2025-10-19,NET30,15.34
TI00142,PR0164,MEG Energy,Calumet Specialty,Philadelphia,47213,73.32,3461657.16,pipeline,7.41,2025-08-26,NET60,16.84
TI00143,PR0191,Canadian Natural Resources,PBF Energy,Sarnia,26356,59.52,1568709.12,pipeline,3.93,2025-11-07,NET60,17.21
TI00144,PR0134,Imperial Oil,US Gulf Refinery Corp,Sarnia,14451,50.77,733677.27,pipeline,8.87,2025-01-25,PREPAID,19.84
TI00145,PR0028,Pengrowth Energy,PBF Energy,Montreal,16484,65.62,1081680.08,pipeline,11.06,2025-10-18,NET60,20.02
TI00146,PR0106,Husky Energy,Phillips 66,Montreal,38098,52.56,2002430.88,pipeline,11.61,2025-03-23,NET60,15.29
TI00147,PR0045,Baytex Energy,Valero Energy,Chicago,10204,64.32,656321.28,pipeline,4.07,2025-04-11,PREPAID,12.9
TI00148,PR0044,Suncor Energy,Marathon Petroleum,Detroit,7160,59.14,423442.4,pipeline,6.27,2025-05-02,NET60,10.6
TI00149,PR0058,MEG Energy,Marathon Petroleum,Cushing,26823,50.99,1367704.77,truck,5.54,2025-02-18,NET30,12.4
