incident_id,incident_date,facility_id,severity,category,description_text,resolution_text,days_to_resolve
INC0001,2025-05-15,F004,critical,h2s_release,Pipeline leak detected on Enbridge Line 3 segment near Hardisty terminal. Inline inspection pig flagged wall thickness anomaly at kilometer marker 42.3. Controlled shutdown initiated. Approximately 15 cubic meters of dilbit released to containment area. AER notified within 1 hour per Directive 071.,Affected pipe section excavated and replaced with new higher-grade material. Enhanced inline inspection frequency scheduled for adjacent segments. AER incident report submitted.,26
INC0002,2025-08-14,F005,high,equipment_failure,H2S gas alarm triggered at Christina Lake SAGD central processing facility. Readings peaked at 18ppm in tank farm area. Automatic shutdown of affected treater vessel. Personnel evacuated per emergency response plan. All-clear after 45 minutes. Root cause: corroded fitting on sour gas line.,Corroded fitting replaced. H2S detection system verified calibrated. Emergency response timing met targets. Refresher training conducted for all affected area workers.,6
INC0003,2025-10-09,F001,high,fire,"Equipment failure at Scotford Upgrader coker unit. Drum switching valve failed to seat properly during decoking cycle. Delayed coking operations shut down for 8 hours. No release to environment. Valve replaced with upgraded metallurgy. Production loss estimated at 12,000 barrels.",Valve replaced with upgraded 9Cr-1Mo metallurgy rated for high-temperature hydrogen service. Inspection interval reduced to quarterly for similar valves fleet-wide.,22
INC0004,2025-06-10,F002,critical,h2s_release,Small fire in electrical room at Horizon Oil Sands extraction plant. Transformer fault caused arc flash. Automatic fire suppression activated. Fire contained to single room. No injuries. Fort McMurray Fire Department attended. Facility at reduced capacity for 24 hours pending electrical inspection.,Electrical fault cleared. Transformer replaced. Arc flash boundary analysis updated. Additional arc-rated PPE staged at all electrical rooms.,13
INC0005,2025-08-12,F004,critical,fire,Tailings pond seepage detected at Kearl Lake Operations via groundwater monitoring well GW-47. Elevated naphthenic acid levels measured 200m downstream of containment structure. AER Emergency Directive issued. Enhanced monitoring and interception well drilling initiated.,Interception well operational within 72 hours. Groundwater monitoring expanded to 12 additional wells. Weekly sampling regime in place. AER directive requirements met.,26
INC0006,2025-10-18,F003,critical,worker_safety,"Pipeline pressure excursion on NOVA Gas Transmission lateral near Edson. Pressure relief valve activated at 9,200 kPa (rated 9,500 kPa). Brief controlled release of natural gas. Compressor station taken offline. Root cause: downstream blockage from hydrate formation during cold snap.",Hydrate inhibitor injection rate increased for cold weather operations. Pressure relief valve inspected and re-certified. Operations procedures updated for winter conditions.,11
INC0007,2025-04-06,F001,medium,h2s_release,Worker injury at Horizon Oil Sands mine. Equipment operator sustained shoulder injury during haul truck maintenance. Worker wearing proper PPE. First aid administered. Transported to Northern Lights Regional Health Centre. Alberta OHS investigation initiated.,Haul truck maintenance procedures revised. Blocking and lock-out protocol enhanced. Additional toolbox safety talk content developed.,37
INC0008,2025-05-07,F002,high,fire,Process upset at Christina Lake SAGD Plant 4B. Steam generation unit experienced rapid pressure fluctuation causing automatic SCRAM. No release. Steam injection interrupted for 6 hours affecting 12 well pairs. Cause: instrument air failure to control valves.,Instrument air system redundancy upgraded. Backup air compressor auto-start tested and confirmed functional. Control valve failure mode analysis completed.,29
INC0009,2025-09-05,F005,medium,spill,Crude oil spill during truck loading at Keystone Terminal Calgary. Approximately 2 cubic meters released to paved loading pad. Contained within secondary containment. Cleanup completed in 4 hours. AER notified. Root cause: operator error — hose disconnected before valve closed.,Loading procedure revised to require two-person verification before hose disconnect. Secondary containment capacity confirmed adequate. Operator retraining completed.,39
INC0010,2025-06-23,F005,high,environmental,Wildlife incident at Kearl Lake Operations. Two waterfowl found on tailings pond surface despite deterrent systems. Birds recovered alive by environmental team and transferred to wildlife rehabilitation. Enhanced deterrent protocols activated. ECCC notified per Migratory Birds Convention Act.,Deterrent system coverage gap identified and corrected. Additional radar-activated cannons installed. Netting coverage expanded to 95% of pond surface area.,45
INC0011,2025-12-11,F005,high,pipeline_integrity,Flare stack malfunction at Scotford Upgrader. Continuous flaring exceeded 24-hour limit under AER Directive 060. Steam injection system to flare tip failed. Visible smoke reported by nearby residents. Temporary flare permit obtained. Repair completed within 36 hours.,Affected pipe section excavated and replaced with new higher-grade material. Enhanced inline inspection frequency scheduled for adjacent segments. AER incident report submitted.,31
INC0012,2025-09-25,F001,high,environmental,Vibration alarm on main pipeline pump at Horizon export terminal. Pump P-201A shut down automatically. Bearing temperature elevated to 95C (limit 85C). Switched to standby pump P-201B. Export throughput maintained. Failed pump sent for overhaul. Bearing failure from misalignment.,Corroded fitting replaced. H2S detection system verified calibrated. Emergency response timing met targets. Refresher training conducted for all affected area workers.,42
INC0013,2025-09-09,F002,high,worker_safety,"Methane detection at abandoned well site near Sundre, AB. Surface casing vent flow measured at 300 m3/day. Exceeds AER Directive 020 threshold. Well ownership traced to defunct company. Orphan Well Association notified for remediation assessment. No immediate safety risk to nearby residence.",Valve replaced with upgraded 9Cr-1Mo metallurgy rated for high-temperature hydrogen service. Inspection interval reduced to quarterly for similar valves fleet-wide.,33
INC0014,2025-10-19,F003,low,pipeline_integrity,Ice fog conditions caused instrument freezing at Christina Lake SAGD. 14 wellpad flow measurement instruments gave erroneous readings. Production accounting disrupted for 48 hours. Heat tracing system found inadequate for -42C conditions experienced. Upgraded heat trace scheduled.,Electrical fault cleared. Transformer replaced. Arc flash boundary analysis updated. Additional arc-rated PPE staged at all electrical rooms.,11
INC0015,2025-03-25,F003,high,equipment_failure,Pipeline right-of-way encroachment detected by aerial patrol on Trans Mountain segment near Edson. Unauthorized construction activity within 30m of pipeline. TC Energy field crew dispatched. Construction company issued stop-work order. AER crossing agreement violation documented.,Interception well operational within 72 hours. Groundwater monitoring expanded to 12 additional wells. Weekly sampling regime in place. AER directive requirements met.,4
INC0016,2025-12-08,F003,medium,fire,Sour gas well blowout prevention drill at Horizon facility. Annual emergency response exercise conducted per AER Directive 071. Ignition zone established. Full PPE deployed. 47 personnel participated. Response time within target. Minor improvement needed for H2S monitor deployment sequence.,Hydrate inhibitor injection rate increased for cold weather operations. Pressure relief valve inspected and re-certified. Operations procedures updated for winter conditions.,42
INC0017,2025-12-12,F003,medium,equipment_failure,Tank overflow at Keystone Terminal Calgary storage tank T-107. High-level alarm failed to trigger pump shutdown. Approximately 5 cubic meters of synthetic crude overflowed to containment dike. No release beyond facility boundary. Level instrument found fouled with paraffin buildup.,Haul truck maintenance procedures revised. Blocking and lock-out protocol enhanced. Additional toolbox safety talk content developed.,31
INC0018,2025-06-27,F005,low,fire,Subsidence monitoring detected ground movement at Christina Lake SAGD Pad D-4. InSAR satellite data showed 8mm vertical displacement over 30 days. Below threshold requiring operational changes per AER Directive 086. Enhanced monitoring frequency implemented. Caprock integrity assessment ordered.,Instrument air system redundancy upgraded. Backup air compressor auto-start tested and confirmed functional. Control valve failure mode analysis completed.,3
INC0019,2025-09-24,F001,medium,h2s_release,Lightning strike on Pembina Peace Pipeline above-ground section near Fox Creek. Pipeline coating damaged over 2m section. No product release. CP (cathodic protection) readings confirmed integrity maintained. Coating repair completed within 7 days. AER notified as precaution.,Loading procedure revised to require two-person verification before hose disconnect. Secondary containment capacity confirmed adequate. Operator retraining completed.,40
INC0020,2025-10-18,F001,high,h2s_release,Contractor vehicle accident on Kearl mine haul road. Empty water truck rolled on grade during spring road conditions. Driver extracted with minor injuries. Road section closed for 3 hours. Speed restrictions implemented during thaw period. Vehicle total loss.,Deterrent system coverage gap identified and corrected. Additional radar-activated cannons installed. Netting coverage expanded to 95% of pond surface area.,4
INC0021,2025-10-28,F001,critical,fire,Benzene monitoring exceedance at Scotford Upgrader fence line. 24-hour average of 4.2 ppb measured (AAAQO limit 3 ppb). Root cause: fugitive emissions from flanges in benzene unit during maintenance activities. Leak detection and repair (LDAR) survey initiated. AER notified per approval conditions.,Affected pipe section excavated and replaced with new higher-grade material. Enhanced inline inspection frequency scheduled for adjacent segments. AER incident report submitted.,11
INC0022,2025-04-02,F002,low,equipment_failure,Power outage at Horizon Oil Sands from ATCO grid fault. Facility on emergency power for 4 hours. Steam generation lost for 3 of 4 once-through steam generators. SAGD production reduced 60% for 12 hours post-restart. Economic impact estimated $4.5M in deferred production.,Corroded fitting replaced. H2S detection system verified calibrated. Emergency response timing met targets. Refresher training conducted for all affected area workers.,8
INC0023,2025-07-03,F004,low,worker_safety,Hydraulic oil leak from excavator at Kearl mine face. 200L released to active mining area. Contaminated soil excavated and sent to bioremediation facility. Equipment taken out of service for hydraulic line repair. Environmental assessment confirmed no groundwater impact.,Valve replaced with upgraded 9Cr-1Mo metallurgy rated for high-temperature hydrogen service. Inspection interval reduced to quarterly for similar valves fleet-wide.,31
INC0024,2025-10-11,F004,medium,environmental,Emergency shutdown (ESD) triggered at Scotford Upgrader hydrogen plant. High temperature alarm on reformer tubes. Automatic isolation of feed gas. Plant offline for 16 hours for metallurgical inspection. Two tubes showed early-stage creep damage. Planned replacement accelerated.,Electrical fault cleared. Transformer replaced. Arc flash boundary analysis updated. Additional arc-rated PPE staged at all electrical rooms.,27
INC0025,2025-05-27,F002,high,equipment_failure,Noise complaint from Bragg Creek residents regarding Keystone Terminal Calgary compressor station. Sound level measurements at property line recorded 42 dBA (nighttime limit 40 dBA). AER investigation. Acoustic enclosure modifications ordered for compressor unit C-3.,Interception well operational within 72 hours. Groundwater monitoring expanded to 12 additional wells. Weekly sampling regime in place. AER directive requirements met.,39
INC0026,2025-07-13,F003,high,equipment_failure,Bear encounter at Christina Lake SAGD remote wellpad D-12. Worker observed grizzly at 30m distance during routine inspection. Worker retreated to vehicle per wildlife protocol. Bear deterrent team dispatched. Bear relocated. Work crew stand-down for wildlife awareness refresher.,Hydrate inhibitor injection rate increased for cold weather operations. Pressure relief valve inspected and re-certified. Operations procedures updated for winter conditions.,13
INC0027,2025-06-02,F004,critical,spill,Pipeline internal corrosion detected during inline inspection of Alliance Pipeline near Whitecourt. Wall loss of 35% measured over 150mm length. Below immediate repair threshold (80%) but exceeds monitoring threshold (30%). Excavation and direct assessment scheduled within 90 days.,Haul truck maintenance procedures revised. Blocking and lock-out protocol enhanced. Additional toolbox safety talk content developed.,18
INC0028,2025-07-02,F001,critical,environmental,Produced water disposal well pressure anomaly at Horizon facility. Injection pressure increased 15% over 30 days suggesting formation plugging. AER notified per Directive 051. Well rate reduced. Diagnostic testing (step-rate test) planned. May require workover or new disposal well.,Instrument air system redundancy upgraded. Backup air compressor auto-start tested and confirmed functional. Control valve failure mode analysis completed.,15
INC0029,2025-09-01,F001,low,spill,Vehicle collision with pipeline marker at Trans Mountain right-of-way near Hinton. Marker displaced. Pipeline depth-of-cover survey confirmed no damage to pipe. Marker replaced. Driver issued trespass warning. AER damage prevention incident report filed.,Loading procedure revised to require two-person verification before hose disconnect. Secondary containment capacity confirmed adequate. Operator retraining completed.,6
INC0030,2025-12-12,F003,high,process_upset,Flaring event at CNRL Horizon during planned maintenance turnaround. SO2 emissions exceeded hourly limit for 3 consecutive hours during unit startup. Community notification issued via CNRL Air Quality Hotline. AER approval condition breach documented. Incident report submitted within 7 days.,Deterrent system coverage gap identified and corrected. Additional radar-activated cannons installed. Netting coverage expanded to 95% of pond surface area.,3
INC0031,2025-05-03,F001,high,pipeline_integrity,Well integrity failure at Kearl Lake thermal well pair KL-412. Casing pressure buildup detected. Well suspended per AER Directive 020. No surface release. Cement bond log planned to assess casing integrity. Adjacent well pairs monitored for communication. Production loss: 400 bpd.,Affected pipe section excavated and replaced with new higher-grade material. Enhanced inline inspection frequency scheduled for adjacent segments. AER incident report submitted.,36
INC0032,2025-05-06,F001,high,spill,Ammonia release at Scotford Upgrader selective catalytic reduction unit. 50kg anhydrous ammonia released during line break for maintenance. Area evacuated to 100m radius. Air monitoring confirmed dispersion within 20 minutes. Worker performing line break sustained minor respiratory irritation.,Corroded fitting replaced. H2S detection system verified calibrated. Emergency response timing met targets. Refresher training conducted for all affected area workers.,21
INC0033,2025-11-13,F002,medium,process_upset,Watercourse crossing erosion on Pembina Pipeline right-of-way at Brazeau River. Spring runoff exposed 3m of pipe above creek bed. Pipeline integrity confirmed by inline inspection. Emergency lowering and rock stabilization completed. Reclamation and replanting scheduled for following spring.,Valve replaced with upgraded 9Cr-1Mo metallurgy rated for high-temperature hydrogen service. Inspection interval reduced to quarterly for similar valves fleet-wide.,13
INC0034,2025-06-06,F005,high,environmental,Workplace fatality investigation ongoing: contractor worker fatally injured at Horizon mine site. Worker struck by reversing haul truck at dump face. Alberta OHS and RCMP investigating. All mine haulage operations suspended for 48 hours pending safety review. Company issued safety stand-down.,Electrical fault cleared. Transformer replaced. Arc flash boundary analysis updated. Additional arc-rated PPE staged at all electrical rooms.,5
INC0035,2025-10-21,F002,medium,equipment_failure,Land subsidence crack observed near Christina Lake SAGD Pad B-7 by field operator during routine patrol. Crack approximately 15m long by 2cm wide. Immediately reported to geotechnical team. InSAR survey expedited. Steam injection rates reduced as precaution. AER Directive 086 notification submitted.,Interception well operational within 72 hours. Groundwater monitoring expanded to 12 additional wells. Weekly sampling regime in place. AER directive requirements met.,42
INC0036,2025-07-05,F001,medium,fire,Natural gas odour complaint from landowner adjacent to NOVA Gas Transmission compressor station near Rocky Mountain House. TC Energy field crew detected minor gas seepage at valve stem packing. Valve repacked within 4 hours. Root cause: thermal cycling causing packing degradation.,Hydrate inhibitor injection rate increased for cold weather operations. Pressure relief valve inspected and re-certified. Operations procedures updated for winter conditions.,4
INC0037,2025-09-26,F004,medium,pipeline_integrity,Unauthorized entry to Keystone Terminal Calgary by environmental protest group. 8 individuals breached perimeter fence at 0600h. Terminal operations continued safely. RCMP attended. Individuals removed and charged with trespassing. Security review initiated including enhanced perimeter monitoring.,Haul truck maintenance procedures revised. Blocking and lock-out protocol enhanced. Additional toolbox safety talk content developed.,6
INC0038,2025-04-02,F004,medium,h2s_release,Fluid spill from surface casing vent at legacy conventional well near Drumheller. AER compliance inspection found undisclosed vent flow. Estimated 10 cubic meters of produced water released over unknown period. Landowner notified. Soil and groundwater assessment ordered. Licensee issued compliance order.,Instrument air system redundancy upgraded. Backup air compressor auto-start tested and confirmed functional. Control valve failure mode analysis completed.,31
INC0039,2025-04-23,F001,medium,equipment_failure,"Turnaround safety milestone: Scotford Upgrader completed 45-day major turnaround with zero recordable injuries. 3,500 workers on site during peak. 1.2 million person-hours worked. Safety recognition event held. Best turnaround safety performance in facility history.",Loading procedure revised to require two-person verification before hose disconnect. Secondary containment capacity confirmed adequate. Operator retraining completed.,36
INC0040,2025-12-27,F002,low,h2s_release,"Pipeline patrol helicopter reported unauthorized aerial drone within 100m of Keystone Pipeline right-of-way near Oyen, AB. Drone operator not identified. NAV CANADA notified of restricted airspace violation. TC Energy security team enhanced surveillance of rural pipeline corridor.",Deterrent system coverage gap identified and corrected. Additional radar-activated cannons installed. Netting coverage expanded to 95% of pond surface area.,11
